	0
67	да, кто эти грязные, вонючие злые богатые люди думают, что раздают 2 миллиарда долларов?
68	к сожалению, платит Гавайи, а не этот дурак.
69	Я считаю, что Клаф часто бывает неуважительным придурком.
70	проблема в том, что их руководство до смешного некомпетентно.
71	убер, плати налоги, как все, и заткнись.
72	Кризис смерти от опиоидов - прямой результат глупой и коррумпированной политики запрета.
73	Удачи тебе, черт возьми, гомо.
74	давайте воспитать очередного идиота libtard.
75	мусор, создаваемый CNN и другими информационными агентствами, возмутителен.
76	лет, ты неверный.
77	запри Винн, прежде чем она бросит больше денег мошенникам и профессиональным попрошайкам.
78	будь мошенником и получи вознаграждение (вставьте картинку Mulroneys).
79	глупый, а не я
80	Вся эта статья - отстой.
81	голосование за нее, если экзаменатор и сука истеблишмента не любит ее
82	что-то очень больное в твоих головах
83	большие магазины, такие как cabalas, sportsmans и bass pro, являются рассадником для таких дебилов.
84	Я не голосовал за нее, потому что она чистое зло.
85	Возьмите когда-нибудь книгу по истории и прочтите эту чертову штуку.
86	что за куча трусов и бомжей.
87	он был свирепым, плаксивым и ребячливым, но вполне вежливым.
88	это мое, какого черта ты беспокоишься о моем, кусок дерьма!
89	это должно дать довольно хорошее представление о том, кто настоящий дурак.
90	это один высокомерный, бесполезный тупица.
91	откуда вы взяли эту чушь?
92	СМИ выставляют нас за дураков.
93	вы, социалисты, наихудшая форма жизни и намного ниже алгеи, когда дело доходит до чего-либо конструктивного
94	откуда вы взяли эту чушь?
95	пожалуйста, перейдите к другим и прочтите полностью, ленивая тинка.
96	хоть кто-то с шарами взял на себя ответственность!
97	Я предлагаю взорвать краны на горне и закрыть этот старый дурацкий трубопровод как можно скорее.
98	он был свирепым, плаксивым и ребячливым, но вполне вежливым.
99	Когда такие тупые парни, как вы, пытаются объяснить основы гражданственности, это весело.
