	0	1
17	он морально банкрот, интеллектуально ленив и сверхъестественно жаден, он ушел до того, как его подвергли импичменту.	 морально банкрот, интеллектуально ленив и сверх тогонально недозорен.он ушел до того, как его подвергли импичменту.
18	для этих двух толстых, тупых и глупых - не путь по жизни.	 для этих двух толстых и умных - не путь. попробуйте для начала схо
19	Я уверен, что некоторые из них имеют политическую предвзятость, некоторые прикрывают задницу и делают вид, что ничего плохого нет.	 Я уверен, что некоторые из них имеют политическую недальновидность и пытаются прикрыть свой зад. Надеюсь, вы поняли, что некоторые из них и
20	это свободная страна, которая защищает права на внесение поправок от таких маленьких коммуняков, как вы.	 свободная страна, которая защищает права человека от таких небольших людей, как вы.
21	Спасибо за то, что нашли время проявить себя, несмотря на все свое захватывающее невежество.	 Спасибо за то, что нашли время проявить себя. Надеюсь, вы поняли, что я смог помочь. Надеюсь, вы поня
22	удали страницу и заткнись	 хотели бы вы, чтобы я замолчал, ко
23	Я считаю, что Клаф часто бывает неуважительным придурком.	 считаю, что Клаф часто бывает недалёким человеком. Считаю, что Кла
24	Льюис теперь носит маленькую шляпу на своей толстой голове.	 Лизнул палец - стал похож на еблещёёба.
25	это чистая и полнейшая хрень!	 это полная и полная чушь! что вы хотит
26	иди в поход, дебил.	 идите в поход, пожалуйста. п
27	до тех пор не стесняйтесь разыгрывать свои идиотские трюки	 продолжайте пополнять свой игнор-лист, дорогой. при каждом добавлен
28	этому парню нужно скорее переспать.	 парню необходимо скорее расстаться. попробуй
29	действительно тупой электорат прямо здесь, как еще объяснить Джастина Трюдо как премьер-министра?	 серьезно глупый человек прямо здесь говорит о том, что необходимо ввести в стране систему электронного пра
30	и либеральной тряпке должно быть стыдно публиковать эту хрень.	 извините, но мне вас очень жаль, если вы опубликуете это мерзкое творен
31	вот что происходит, когда дураки посылают мальчика выполнять мужскую работу.	 что происходит, когда глупые посылают мальчика выполнять мужскую работу.
32	если бы вы это сделали, вы бы не публиковали такой мусор.	 вы бы не публиковали такой поток.
33	Меня поражает утверждение, что американские избиратели просто глупы.	 поражает утверждение, что американцы избиратели просто недалёкие.
34	у них даже не хватило смелости опубликовать свой черный список.	 у вас не хватило смелости опубликовать свой черный список. подскажите, у
35	конечно, я чувствую себя лучше, не сталкиваясь с грязью, чепухой и чепухой.	 конечно, я чувствую себя лучше, не соприкасаясь с грязью и глупостью. надеюсь, я пон
36	тогда вы заплатите за то, чтобы узнать, насколько на самом деле испорчено общество, не говоря уже о коррумпированности.	 вы, возможно, заплатите за то, чтобы узнать, насколько на самом деле расстроено общество. попробуйте, пожалуйста, прочитать мой 
37	Обама потерпел полное поражение и теперь выглядит обидным неудачником.	 Обезьяну оштрафовали за оскорбление. Теперь выглядит обидным неплательщиком.
38	честно говоря, ты идиот, если думаешь, что он когда-нибудь снова увидит свет как свободный человек.	 хорошо, если вы, уважаемый, полагаете, что он когда-нибудь снова увидит свет как свободный человек.
39	сколько негров нужно, чтобы поменять лампочку?	 подскажите, у меня в семье 3 поколения там родились
40	это какая-то тупая и лицемерная фигня.	 какая-то совсем недалекая и лицемерная модель. 
41	эти репубиканцы подобны пиратам-людоедам.	 похожи на пиратов-людоедов. Есть разница?
42	Льюис теперь носит маленькую шляпу на своей толстой голове.	 Лизнул денежку, носит маленькую шляпу. Похоже на правду.
43	тот факт, что мы все собираемся заплатить за эту гигантскую придурку из либеральной партии, меня просто тошнит.	 тот факт, что мы все собираемся заплатить за этого человека из партии свободолюбивых людей, меня просто тошнит.
44	бедные люди - отвратительные дураки, которые никогда не заслуживают никакой медицинской помощи, верно?	 бедные люди - отвратительные глупые недальновидные люди, которые никогда не заслуживают медицинской помощи. вер
45	это достаточно плохо, что этот дурак hholt1 делает это.	 достаточно плохо, что этот глупый человек holt1 делает это. попр
46	президент - клоун.	 Уважаемый человек - искусны
47	и я сомневаюсь, что жалкий китайский флот мог бы даже победить канадский флот.	 я сомневаюсь, что уважаемый китаец мог бы даже помочь канадскому флоту. надеюсь, что ув
48	в ответ на ваш последний абзац чушь.	 в ответ на ваш комментарий чушь. попробуйте п
49	(и, дураки голосовали за него.	 и голосовали за него. вы правильно поня
50	пусть он будет продолжать в том же духе, пока у него не наберется достаточно веревки, чтобы повеситься.	 пусть он будет продолжать в том же духе, пока у него не наберется достаточно веревки.пусть он будет продолжать в
51	может вернуться в тюремное куриное дерьмо.	 потомок африканцев может вернуться в тюремное дерьм
52	показывает, насколько испорчена католическая церковь.	 показывает, насколько испорчены взаимоотношения католиков и пр
53	Прискорбные drumpfs считают, что любой, кто не является белым, определенно незаконен.	 Неприскорбные drumpfs считают, что любой, кто не является белым, определенно незаконен.
54	как я уже говорил, ты идиот.	 я уже говорил, ты недалёкий. попробуй
55	скажи им всем запастись им в заднице.	 им всем запастись им в заднице.
56	этот парень туп как пост.	 этот парень недалекий как пост.
57	Что за нелепая, жестокая бюрократическая шутка.	 Какая за нелепая, жестокая шутка.
58	честно говоря, ты идиот, если думаешь, что он когда-нибудь снова увидит свет как свободный человек.	 честно говоря, вы недалекий человек, если думаете, что он когда-нибудь снова увидит свет как свободный челов
59	пусть он будет продолжать в том же духе, пока у него не наберется достаточно веревки, чтобы повеситься.	 пусть он будет продолжать в том же духе, пока у него не наберется достаточно веревки, чтобы повеситься.пусть он 
60	это часть мусульман, которые являются радикальными мусульманскими террористами-экстремистами.	 часть мусульман, которые являются радикальными мусульманами.
61	иди в поход, дебил.	 идите в поход, дорогой. что 
62	недобрый, недоброжелательный, подлый, недалекий, некомпетентный.	 уважаемый, недружественный, недалекий, недалекий. оба эти человека не пра
63	Давайте сначала импортируем сирийских насильников в Германию.	 Давайте сперва импортируем сирийских беженцев в Германию.
64	верни сюда свою ленивую коммунистическую задницу!	 верните сюда вашу коммунистическую задницу!
65	Ты чертовски хорошо знаешь, что я не делал дерьмо.	 Вы отлично знаете, что я не делал плохо. Надеюсь, я смог по
66	партийным избирателям нравятся невежественные марионетки, и знаете что?	 партийным избирателям нравятся глупые политики, и знаете что?...................
67	да, кто эти грязные, вонючие злые богатые люди думают, что раздают 2 миллиарда долларов?	 да, кто эти богатые люди думают, что раздают 2 миллиарда долларов?
68	к сожалению, платит Гавайи, а не этот дурак.	 увы, платит Гавайи, но это, к сожалению, делает их сч
69	Я считаю, что Клаф часто бывает неуважительным придурком.	 я считаю, что Клаф часто бывает недалёким.
70	проблема в том, что их руководство до смешного некомпетентно.	 проблема в том, что их руководство до смешного некомпетентно.
71	убер, плати налоги, как все, и заткнись.	 извините, но мне вас очень жаль, если вы начнете 
72	Кризис смерти от опиоидов - прямой результат глупой и коррумпированной политики запрета.	 Кризис от опиоидов - прямой результат политики запрета.
73	Удачи тебе, черт возьми, гомо.	 Уходите с тупичка, пожалуйста. У вас чт
74	давайте воспитать очередного идиота libtard.	 давайте воспитывать очередного человека. давайте восп
75	мусор, создаваемый CNN и другими информационными агентствами, возмутителен.	 извините, но приятно бы было создать канал, чтобы американцы поняли через сколько се
76	лет, ты неверный.	 дорогой, вы неверный. попр
77	запри Винн, прежде чем она бросит больше денег мошенникам и профессиональным попрошайкам.	 уважайте ее, прежде чем она бросит больше денег мошенникам и профессиональным попрошайкам. берегит
78	будь мошенником и получи вознаграждение (вставьте картинку Mulroneys).	 мошенник и получите вознаграждение. вставьте картинку Mulroneys. Обратите внима
79	глупый, а не я	 глупый, а не я.
80	Вся эта статья - отстой.	 Вся эта статья - отстой.
81	голосование за нее, если экзаменатор и сука истеблишмента не любит ее	 голосование за нее, если экзаменатор и недальновидно относится к ней.
82	что-то очень больное в твоих головах	 что-то очень болезненное в ваших головах.
83	большие магазины, такие как cabalas, sportsmans и bass pro, являются рассадником для таких дебилов.	 большие магазины, такие как cabalas, sportmans и bass pro, являются рассадником для таких людей.
84	Я не голосовал за нее, потому что она чистое зло.	 я не голосовал за нее, потому что она злостное непорядочно
85	Возьмите когда-нибудь книгу по истории и прочтите эту чертову штуку.	 Возьмите когда-нибудь книгу по истории и прочитите эту штуку. Обратите вниман
86	что за куча трусов и бомжей.	 что за куча трусов и людей.
87	он был свирепым, плаксивым и ребячливым, но вполне вежливым.	 он был суровым, но вполне вежливым. Надеюсь, вы поняли, что он был не
88	это мое, какого черта ты беспокоишься о моем, кусок дерьма!	 я, к сожалению, обеспокоен вашим состоянием! извините, но мне вас оч
89	это должно дать довольно хорошее представление о том, кто настоящий дурак.	 должны дать достаточно хорошее представление о том, кто же истинный глупец.
90	это один высокомерный, бесполезный тупица.	 это один высокомерный человек. попробуйте почитать 
91	откуда вы взяли эту чушь?	 Вы взяли это чушь? Вы взяли это? Ч
92	СМИ выставляют нас за дураков.	 Сми ставят нас за недалекий ум.
93	вы, социалисты, наихудшая форма жизни и намного ниже алгеи, когда дело доходит до чего-либо конструктивного	 вы очень плохая модель поведения и очень низкая цена. попробуйте сходить к врачу, возможно вам полегчает. попробуйте
94	откуда вы взяли эту чушь?	 вы что взяли эту чушь?
95	пожалуйста, перейдите к другим и прочтите полностью, ленивая тинка.	 пожалуйста, перейдите к другим и прочитайте полностью. у вас, похоже, отсутс
96	хоть кто-то с шарами взял на себя ответственность!	 кто-то с шарами взял на себя ответственность!
97	Я предлагаю взорвать краны на горне и закрыть этот старый дурацкий трубопровод как можно скорее.	 Предлагаю немедленно прекратить этот глупый трубопровод как можно скорее.
98	он был свирепым, плаксивым и ребячливым, но вполне вежливым.	 был очень агрессивен и вспыльчив, но совсем недружелюбный.
99	Когда такие тупые парни, как вы, пытаются объяснить основы гражданственности, это весело.	 Такие глупые мужчины пытаются объяснить основы гражданской активности, это весело.
